scientificName,type,size,ALSK,ANTA,APLR,ARAB,ARCH,ARCT,AUSE,AUSW,BENG,BERS,BPLR,BRAZ,CAMR,CARB,CCAL,CHIL,CHIN,CNRY,EAFR,ETRA,FKLD,GFST,GUIA,GUIN,INDE,INDW,ISSG,KURO,MEDI,MONS,NADR,NASE,NASW,NATR,NECS,NEWZ,NPPF,NPSW,NPTG,NWCS,PEQD,PNEC,PSAE,PSAW,REDS,SANT,SARC,SATL,SPSG,SSTC,SUND,TASM,WARM,WTRA
Acanthometra pellucida,eSNCM,200,0,2,0,0,0,0,1,4,1,0,3,2,2,10,8,5,0,5,3,2,0,2,2,0,0,0,12,3,35,0,2,11,7,7,14,1,0,0,15,7,10,22,0,0,0,0,0,17,40,6,0,0,9,5
Akashiwo sanguinea,CM,70,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,8,0,1,0,4,0,0,0,3,0,5,10,2,0,1,0,20,0,0,0,18,5,1,17,0,0,2,0,0,1,13,0,1,0,0,0
Alexandrium minutum,CM,25.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,1,2,0,0,0,0,3,0,2,0,0,0,1,0,0,10,0,0,0,0,0
Alexandrium ostenfeldii,CM,44.5,0,0,0,0,0,6,0,0,0,0,28,0,0,0,3,0,0,1,0,0,2,0,1,0,0,0,0,0,6,0,2,0,0,0,16,3,0,0,2,9,0,0,0,0,0,0,9,1,4,0,0,0,0,0
Amphisolenia bidentata,eSNCM,820,0,1,8,68,0,0,0,0,4,0,0,7,11,19,27,56,0,9,51,6,5,17,12,0,0,0,45,0,178,47,29,17,49,0,0,0,0,0,67,18,37,67,0,0,63,0,0,79,267,5,0,0,0,0
Chrysochromulina leadbeateri,CM,8,0,19,54,395,0,2,0,0,31,0,35,61,39,86,262,460,0,77,272,52,52,86,58,0,0,0,288,0,1089,284,299,113,361,0,2,0,0,0,369,85,173,365,0,0,250,0,1,552,1515,51,0,0,0,0
Collozoum inerme,eSNCM,20000,0,0,5,22,0,0,0,0,0,0,1,1,3,12,29,10,0,3,26,13,9,13,5,0,0,0,19,0,45,9,19,10,46,0,0,0,0,0,31,11,11,12,0,0,1,0,0,35,105,1,0,0,2,0
Collozoum pelagicum,eSNCM,5000,0,1,30,52,0,0,0,0,3,0,10,14,0,14,56,59,0,10,54,4,21,6,1,0,0,0,21,0,53,25,19,8,46,0,0,0,0,0,38,4,15,32,0,0,19,0,0,105,161,5,0,0,7,0
Dinophysis acuminata,pSNCM,48,0,3,19,5,0,2,0,0,0,0,15,3,2,3,11,14,0,17,10,1,20,8,1,0,0,0,0,1,79,2,0,2,22,0,42,1,0,0,0,15,1,7,0,0,5,0,3,11,5,7,0,0,0,0
Dinophysis acuta,pSNCM,74,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,3,0,0,5,1,0,1,3,0,0,0,4,0,41,0,0,1,2,0,0,0,0,0,7,2,6,5,0,0,11,0,0,6,30,0,0,0,0,0
Dinophysis caudata,pSNCM,130,0,2,5,11,0,0,0,0,0,0,0,4,0,3,26,28,0,5,17,0,8,9,5,0,0,0,3,0,78,7,0,4,6,0,0,0,0,0,6,1,4,4,0,0,22,0,0,8,37,5,0,0,0,0
Globigerinita glutinata,eSNCM,NA,0,5,6,53,0,0,0,0,0,0,0,1,7,12,7,90,0,7,33,0,9,36,8,0,0,0,32,0,63,19,18,3,70,0,0,0,0,0,37,19,47,84,0,0,32,0,0,73,200,0,0,0,0,0
Karenia brevis,CM,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,0,0,0,4,5,0,0,0,0,0,12,0,0,1,3,0,1,0,0,0,3,0,1,4,0,0,0,0,0,1,6,0,1,0,1,0
Laboea strobila,GNCM,110,0,1,2,18,0,7,0,0,0,0,74,3,4,4,16,55,0,6,18,2,4,4,3,0,0,0,14,1,57,19,34,7,27,0,57,3,0,0,13,22,12,25,0,0,13,0,5,19,66,2,2,0,0,0
Mesodinium rubrum,pSNCM,25,0,1,6,1,0,0,0,0,1,0,24,3,2,1,6,31,0,4,9,0,6,7,2,0,0,0,4,0,54,1,3,5,22,0,0,0,0,0,11,0,1,9,0,0,5,0,0,9,12,2,0,0,0,0
Orbulina universa,eSNCM,NA,0,0,4,4,0,0,0,0,0,0,0,2,1,7,2,18,0,2,6,1,2,6,1,0,0,0,14,0,34,10,11,2,3,0,0,0,0,0,17,8,10,21,0,0,8,0,0,22,48,2,0,0,0,0
Phaeocystis globosa,CM,6,0,20,38,13,0,0,0,0,8,0,1,4,5,6,21,52,0,4,20,6,24,11,7,0,0,0,10,2,33,15,11,6,37,0,36,6,0,0,26,3,15,24,0,0,13,0,1,36,115,5,0,0,0,0
Prorocentrum cordatum,CM,15,0,9,29,43,0,1,0,0,5,0,16,9,5,10,30,54,0,10,39,7,17,13,5,0,0,0,27,0,122,24,21,10,31,0,26,2,0,0,50,17,22,46,0,0,25,0,1,55,153,8,0,0,1,0
Strombidium basimorphum,GNCM,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strombidium biarmatum,GNCM,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Tripos furca,CM,160,0,6,16,46,0,0,0,2,3,0,4,14,9,23,53,75,0,12,34,5,14,13,14,0,0,0,36,2,138,30,40,15,35,5,33,0,0,0,78,20,31,58,0,0,33,0,0,55,240,6,3,0,4,3
Tripos fusus,CM,300,0,5,29,114,0,0,1,0,10,0,4,12,25,14,59,113,0,18,66,6,29,30,21,0,0,0,48,1,244,56,52,22,63,0,45,1,0,0,81,25,42,75,0,0,45,0,3,90,277,13,0,0,0,1
Tripos longipes,CM,250,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
